+-----------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------+-----------------+
| Name                                          | Description                                                                                                                                               | Downloads (total=3505206980) | MaxVersion      |
| gix-utils                                     | A crate with `gitoxide` utilities that don't need feature toggles                                                                                         | 51662219                     | 0.3.6           |
| gix-validate                                  | Validation functions for various kinds of names in git                                                                                                    | 58106832                     | 0.11.4          |
| gix-worktree                                  | A crate of the gitoxide project for shared worktree related types and utilities.                                                                          | 41879019                     | 0.56.0          |
| gix-worktree-state                            | A crate of the gitoxide project implementing setting the worktree to a particular state                                                                   | 23875116                     | 0.34.1          |
| gix-worktree-stream                           | generate a byte-stream from a git-tree                                                                                                                    | 16223779                     | 0.36.1          |
| gix-zlib                                      | Zlib-rs streaming compression and decompression utilities used by gitoxide                                                                                | 362186                       | 0.1.0           |
| google-abusiveexperiencereport1               | A complete library to interact with Abusive Experience Report (protocol v1)                                                                               | 30555                        | 7.0.0+20251222  |
| google-abusiveexperiencereport1-cli           | A complete library to interact with Abusive Experience Report (protocol v1)                                                                               | 18903                        | 7.0.0+20251222  |
| google-acceleratedmobilepageurl1              | A complete library to interact with Acceleratedmobilepageurl (protocol v1)                                                                                | 28422                        | 7.0.0+20251215  |
| google-acceleratedmobilepageurl1-cli          | A complete library to interact with Acceleratedmobilepageurl (protocol v1)                                                                                | 18676                        | 7.0.0+20251215  |
| google-accessapproval1                        | A complete library to interact with Access Approval (protocol v1)                                                                                         | 18776                        | 7.0.0+20251205  |
| google-accessapproval1-cli                    | A complete library to interact with Access Approval (protocol v1)                                                                                         | 9118                         | 7.0.0+20251205  |
| google-accessapproval1_beta1                  | A complete library to interact with Access Approval (protocol v1beta1)                                                                                    | 23973                        | 7.0.0+20200708  |
| google-accessapproval1_beta1-cli              | A complete library to interact with Access Approval (protocol v1beta1)                                                                                    | 15747                        | 7.0.0+20200708  |
| google-accesscontextmanager1                  | A complete library to interact with Access Context Manager (protocol v1)                                                                                  | 24214                        | 7.0.0+20251211  |
| google-accesscontextmanager1-cli              | A complete library to interact with Access Context Manager (protocol v1)                                                                                  | 14651                        | 7.0.0+20251211  |
| google-accesscontextmanager1_beta             | A complete library to interact with Access Context Manager (protocol v1beta)                                                                              | 27156                        | 7.0.0+20230123  |
| google-accesscontextmanager1_beta-cli         | A complete library to interact with Access Context Manager (protocol v1beta)                                                                              | 15817                        | 7.0.0+20230123  |
| google-adexchangebuyer1d3                     | A complete library to interact with Ad Exchange Buyer (protocol v1.3)                                                                                     | 74855                        | 7.0.0+20210330  |
| google-adexchangebuyer1d3-cli                 | A complete library to interact with Ad Exchange Buyer (protocol v1.3)                                                                                     | 34062                        | 7.0.0+20210330  |
| google-adexchangebuyer1d4                     | A complete library to interact with Ad Exchange Buyer (protocol v1.4)                                                                                     | 56344                        | 7.0.0+20210330  |
| google-adexchangebuyer1d4-cli                 | A complete library to interact with Ad Exchange Buyer (protocol v1.4)                                                                                     | 31179                        | 7.0.0+20210330  |
| google-adexchangebuyer2_v2_beta1              | A complete library to interact with AdExchangeBuyerII (protocol v2beta1)                                                                                  | 29051                        | 7.0.0+20251211  |
| google-adexchangebuyer2_v2_beta1-cli          | A complete library to interact with AdExchangeBuyerII (protocol v2beta1)                                                                                  | 16640                        | 7.0.0+20251211  |
| google-adexchangeseller2                      | A complete library to interact with Ad Exchange Seller (protocol v2.0)                                                                                    | 70219                        | 7.0.0+20171101  |
| google-adexchangeseller2-cli                  | A complete library to interact with Ad Exchange Seller (protocol v2.0)                                                                                    | 31396                        | 7.0.0+20171101  |
| google-adexperiencereport1                    | A complete library to interact with Ad Experience Report (protocol v1)                                                                                    | 31926                        | 7.0.0+20251222  |
| google-adexperiencereport1-cli                | A complete library to interact with Ad Experience Report (protocol v1)                                                                                    | 18852                        | 7.0.0+20251222  |
| google-admin1_directory                       | A complete library to interact with directory (protocol directory_v1)                                                                                     | 60126                        | 1.0.13+20200204 |
| google-admin1_directory-cli                   | A complete library to interact with directory (protocol directory_v1)                                                                                     | 23434                        | 1.0.13+20200204 |
| google-admin1_reports                         | A complete library to interact with reports (protocol reports_v1)                                                                                         | 58332                        | 1.0.12+20190521 |
| google-admin1_reports-cli                     | A complete library to interact with reports (protocol reports_v1)                                                                                         | 24082                        | 1.0.12+20190521 |
| google-admin2_email_migration                 | A complete library to interact with admin (protocol email_migration_v2)                                                                                   | 23124                        | 0.1.11+20150303 |
| google-admob1                                 | A complete library to interact with AdMob (protocol v1)                                                                                                   | 18750                        | 7.0.0+20251204  |
| google-admob1-cli                             | A complete library to interact with AdMob (protocol v1)                                                                                                   | 9080                         | 7.0.0+20251204  |
| google-adsense1d4                             | A complete library to interact with AdSense (protocol v1.4)                                                                                               | 76920                        | 7.0.0+20201002  |
| google-adsense1d4-cli                         | A complete library to interact with AdSense (protocol v1.4)                                                                                               | 35498                        | 7.0.0+20201002  |
| google-adsense2                               | A complete library to interact with adsense (protocol v2)                                                                                                 | 12304                        | 7.0.0+20251210  |
| google-adsense2-cli                           | A complete library to interact with adsense (protocol v2)                                                                                                 | 5304                         | 7.0.0+20251210  |
| google-adsensehost4d1                         | A complete library to interact with AdSense Host (protocol v4.1)                                                                                          | 76542                        | 7.0.0+20200930  |
| google-adsensehost4d1-cli                     | A complete library to interact with AdSense Host (protocol v4.1)                                                                                          | 36736                        | 7.0.0+20200930  |
| google-aiplatform1                            | A complete library to interact with Aiplatform (protocol v1)                                                                                              | 2320                         | 6.0.0+20240715  |
| google-aiplatform1_beta1                      | A complete library to interact with Aiplatform (protocol v1beta1)                                                                                         | 2452                         | 6.0.0+20240715  |
| google-alertcenter1_beta1                     | A complete library to interact with AlertCenter (protocol v1beta1)                                                                                        | 26910                        | 7.0.0+20251215  |
| google-alertcenter1_beta1-cli                 | A complete library to interact with AlertCenter (protocol v1beta1)                                                                                        | 17114                        | 7.0.0+20251215  |
